Time(s),Illuminance(lx)
2.14E+01,6.10E+02
2.14E+01,6.61E+02
2.15E+01,6.71E+02
2.15E+01,7.13E+02
2.15E+01,7.22E+02
2.16E+01,7.53E+02
2.16E+01,7.83E+02
2.17E+01,7.93E+02
2.17E+01,8.03E+02
2.17E+01,8.23E+02
2.18E+01,8.84E+02
2.18E+01,9.57E+02
2.19E+01,9.97E+02
2.19E+01,1.08E+03
2.19E+01,1.11E+03
2.20E+01,1.14E+03
2.20E+01,1.16E+03
2.21E+01,1.17E+03
2.21E+01,1.19E+03
2.21E+01,1.18E+03
2.22E+01,1.20E+03
2.24E+01,1.22E+03
2.24E+01,1.21E+03
2.26E+01,1.19E+03
2.26E+01,1.23E+03
2.28E+01,1.24E+03
2.30E+01,1.22E+03
2.30E+01,1.24E+03
2.31E+01,1.26E+03
2.36E+01,1.24E+03
2.36E+01,1.26E+03
2.42E+01,1.27E+03
2.42E+01,1.24E+03
2.45E+01,1.22E+03
2.45E+01,1.23E+03
2.48E+01,1.21E+03
2.48E+01,1.23E+03
2.49E+01,1.24E+03
2.49E+01,1.21E+03
2.52E+01,1.19E+03
2.52E+01,1.20E+03
2.54E+01,1.18E+03
2.56E+01,1.19E+03
2.56E+01,1.17E+03
2.57E+01,1.15E+03
2.58E+01,1.14E+03
2.58E+01,1.12E+03
2.59E+01,1.13E+03
2.59E+01,1.11E+03
2.60E+01,1.09E+03
2.60E+01,1.08E+03
2.61E+01,1.06E+03
2.61E+01,1.07E+03
2.62E+01,1.05E+03
2.62E+01,1.03E+03
2.63E+01,1.04E+03
2.63E+01,1.02E+03
2.63E+01,9.97E+02
2.64E+01,9.87E+02
2.65E+01,9.66E+02
2.65E+01,9.57E+02
2.65E+01,9.36E+02
2.66E+01,9.26E+02
2.66E+01,9.05E+02
2.67E+01,8.96E+02
2.67E+01,8.54E+02
2.67E+01,8.44E+02
2.68E+01,8.23E+02
2.68E+01,8.35E+02
2.69E+01,8.14E+02
2.69E+01,7.93E+02
2.69E+01,7.83E+02
2.70E+01,7.62E+02
2.70E+01,7.53E+02
2.71E+01,7.32E+02
2.71E+01,7.22E+02
2.71E+01,7.01E+02
2.72E+01,6.92E+02
2.72E+01,6.71E+02
2.73E+01,6.82E+02
2.73E+01,6.40E+02
2.73E+01,6.31E+02
2.74E+01,6.10E+02
2.75E+01,6.00E+02
2.75E+01,5.90E+02
2.75E+01,5.70E+02
2.76E+01,5.39E+02
2.76E+01,4.88E+02
2.77E+01,4.36E+02
2.77E+01,3.96E+02
2.77E+01,3.45E+02
2.78E+01,3.04E+02
2.79E+01,3.25E+02
2.79E+01,3.30E+02
2.80E+01,3.40E+02
2.80E+01,3.34E+02
2.81E+01,3.60E+02
2.81E+01,4.22E+02
2.81E+01,4.83E+02
2.82E+01,5.44E+02
2.82E+01,5.74E+02
2.83E+01,5.90E+02
2.83E+01,6.05E+02
2.83E+01,6.36E+02
2.84E+01,6.81E+02
2.85E+01,7.83E+02
2.85E+01,8.14E+02
2.85E+01,8.65E+02
2.86E+01,8.96E+02
2.86E+01,9.26E+02
2.87E+01,9.57E+02
2.87E+01,9.87E+02
2.87E+01,1.02E+03
2.88E+01,1.05E+03
2.88E+01,1.08E+03
2.89E+01,1.11E+03
2.89E+01,1.14E+03
2.89E+01,1.16E+03
2.90E+01,1.17E+03
2.90E+01,1.18E+03
2.91E+01,1.20E+03
2.92E+01,1.21E+03
2.93E+01,1.24E+03
2.94E+01,1.23E+03
2.95E+01,1.24E+03
2.98E+01,1.27E+03
2.98E+01,1.26E+03
3.02E+01,1.25E+03
3.02E+01,1.26E+03
3.03E+01,1.25E+03
3.04E+01,1.27E+03
3.12E+01,1.25E+03
3.13E+01,1.26E+03
3.14E+01,1.25E+03
3.15E+01,1.23E+03
3.16E+01,1.24E+03
3.23E+01,1.25E+03
3.24E+01,1.23E+03
3.26E+01,1.20E+03
3.26E+01,1.22E+03
3.26E+01,1.23E+03
3.27E+01,1.24E+03
3.27E+01,1.23E+03
3.30E+01,1.25E+03
3.31E+01,1.24E+03
