Time(s),Illuminance(lx)
1.19E-01,1.03E+03
1.59E-01,1.02E+03
2.38E-01,1.04E+03
3.18E-01,1.05E+03
3.98E-01,1.07E+03
4.37E-01,1.09E+03
4.77E-01,1.08E+03
5.57E-01,1.10E+03
6.76E-01,1.12E+03
7.16E-01,1.11E+03
9.15E-01,1.12E+03
9.55E-01,1.11E+03
1.35E+00,1.12E+03
1.39E+00,1.11E+03
2.35E+00,1.13E+03
2.39E+00,1.11E+03
2.47E+00,1.13E+03
2.51E+00,1.11E+03
2.63E+00,1.13E+03
2.75E+00,1.11E+03
2.83E+00,1.13E+03
2.87E+00,1.11E+03
2.94E+00,1.13E+03
3.10E+00,1.11E+03
3.18E+00,1.13E+03
3.38E+00,1.11E+03
3.42E+00,1.13E+03
3.46E+00,1.11E+03
3.50E+00,1.13E+03
3.78E+00,1.11E+03
3.82E+00,1.13E+03
6.93E+00,1.14E+03
6.97E+00,1.13E+03
7.44E+00,1.14E+03
7.48E+00,1.13E+03
7.60E+00,1.11E+03
7.64E+00,1.13E+03
7.68E+00,1.11E+03
8.04E+00,1.13E+03
8.08E+00,1.11E+03
8.20E+00,1.13E+03
8.24E+00,1.11E+03
9.04E+00,1.13E+03
9.11E+00,1.11E+03
9.15E+00,1.13E+03
9.23E+00,1.11E+03
1.00E+01,1.12E+03
1.01E+01,1.10E+03
1.03E+01,1.11E+03
1.03E+01,1.10E+03
1.09E+01,1.11E+03
1.09E+01,1.10E+03
1.15E+01,1.13E+03
1.15E+01,1.10E+03
1.16E+01,1.12E+03
1.19E+01,1.10E+03
1.19E+01,1.12E+03
1.20E+01,1.10E+03
1.20E+01,1.12E+03
1.21E+01,1.10E+03
1.25E+01,1.08E+03
1.28E+01,1.06E+03
1.29E+01,1.09E+03
1.34E+01,1.08E+03
1.38E+01,1.09E+03
1.41E+01,1.07E+03
1.43E+01,1.05E+03
1.44E+01,1.07E+03
1.56E+01,1.05E+03
1.58E+01,1.06E+03
1.62E+01,1.05E+03
1.63E+01,1.06E+03
1.63E+01,1.05E+03
1.65E+01,1.06E+03
1.66E+01,1.05E+03
1.68E+01,1.06E+03
1.70E+01,1.04E+03
1.74E+01,1.02E+03
1.82E+01,1.03E+03
1.84E+01,1.01E+03
1.85E+01,9.87E+02
1.86E+01,1.01E+03
1.86E+01,9.87E+02
1.87E+01,1.01E+03
1.89E+01,1.02E+03
1.89E+01,1.01E+03
1.91E+01,1.03E+03
1.92E+01,1.02E+03
1.93E+01,1.04E+03
1.94E+01,1.06E+03
1.95E+01,1.05E+03
1.96E+01,1.07E+03
2.02E+01,1.08E+03
2.03E+01,1.07E+03
