Time(s),Illuminance(lx)
2.05E+01,1.09E+03
2.07E+01,1.08E+03
2.08E+01,1.10E+03
2.11E+01,1.12E+03
2.13E+01,1.11E+03
2.20E+01,1.13E+03
2.23E+01,1.15E+03
2.23E+01,1.13E+03
2.24E+01,1.15E+03
2.24E+01,1.16E+03
2.25E+01,1.15E+03
2.27E+01,1.14E+03
2.28E+01,1.15E+03
2.28E+01,1.14E+03
2.29E+01,1.15E+03
2.29E+01,1.14E+03
2.30E+01,1.15E+03
2.34E+01,1.16E+03
2.34E+01,1.15E+03
2.35E+01,1.13E+03
2.35E+01,1.15E+03
2.36E+01,1.13E+03
2.36E+01,1.14E+03
2.36E+01,1.13E+03
2.38E+01,1.15E+03
2.38E+01,1.13E+03
2.45E+01,1.11E+03
2.46E+01,1.12E+03
2.48E+01,1.10E+03
2.52E+01,1.11E+03
2.53E+01,1.08E+03
2.53E+01,1.09E+03
2.54E+01,1.10E+03
2.54E+01,1.08E+03
2.60E+01,1.11E+03
2.61E+01,1.08E+03
2.62E+01,1.09E+03
2.63E+01,1.07E+03
2.64E+01,1.09E+03
2.64E+01,1.07E+03
2.65E+01,1.08E+03
2.65E+01,1.07E+03
2.69E+01,1.05E+03
2.71E+01,1.06E+03
2.71E+01,1.04E+03
2.72E+01,1.06E+03
2.77E+01,1.04E+03
2.79E+01,1.02E+03
2.79E+01,1.03E+03
2.81E+01,1.01E+03
2.82E+01,9.87E+02
2.82E+01,1.01E+03
2.83E+01,9.87E+02
2.84E+01,9.98E+02
2.85E+01,1.01E+03
2.85E+01,9.98E+02
2.86E+01,9.89E+02
2.87E+01,9.78E+02
2.88E+01,9.57E+02
2.89E+01,9.68E+02
2.93E+01,9.79E+02
2.93E+01,9.68E+02
2.94E+01,9.79E+02
2.94E+01,9.68E+02
2.95E+01,9.47E+02
2.95E+01,9.26E+02
2.96E+01,9.47E+02
2.97E+01,9.26E+02
2.99E+01,9.37E+02
3.01E+01,9.16E+02
3.02E+01,9.48E+02
3.02E+01,9.37E+02
3.03E+01,9.16E+02
3.16E+01,9.28E+02
3.17E+01,9.16E+02
3.20E+01,9.28E+02
3.20E+01,9.16E+02
3.25E+01,9.37E+02
3.27E+01,9.48E+02
3.27E+01,9.37E+02
3.28E+01,9.26E+02
3.34E+01,9.47E+02
3.39E+01,9.58E+02
3.40E+01,9.26E+02
3.40E+01,9.47E+02
3.41E+01,9.58E+02
3.42E+01,9.47E+02
3.44E+01,9.26E+02
3.48E+01,9.05E+02
3.48E+01,9.26E+02
3.49E+01,9.37E+02
3.54E+01,9.16E+02
3.57E+01,8.96E+02
3.59E+01,9.07E+02
3.61E+01,8.86E+02
3.62E+01,8.65E+02
3.65E+01,8.76E+02
3.65E+01,8.65E+02
3.66E+01,8.76E+02
3.67E+01,8.55E+02
3.71E+01,8.35E+02
3.74E+01,8.46E+02
3.75E+01,8.25E+02
3.78E+01,8.04E+02
3.81E+01,7.83E+02
3.81E+01,7.94E+02
3.87E+01,7.74E+02
3.89E+01,7.85E+02
3.89E+01,7.74E+02
3.90E+01,7.53E+02
3.90E+01,7.64E+02
3.93E+01,7.43E+02
3.95E+01,7.22E+02
3.96E+01,7.33E+02
3.98E+01,7.13E+02
4.00E+01,7.33E+02
4.02E+01,7.43E+02
4.03E+01,7.64E+02
4.04E+01,7.53E+02
4.05E+01,7.74E+02
4.06E+01,7.94E+02
4.08E+01,7.83E+02
4.08E+01,8.04E+02
4.10E+01,8.25E+02
4.12E+01,8.14E+02
4.12E+01,8.35E+02
4.14E+01,8.55E+02
4.16E+01,8.65E+02
4.18E+01,8.86E+02
4.19E+01,8.97E+02
4.20E+01,8.86E+02
4.20E+01,8.96E+02
4.21E+01,9.16E+02
4.22E+01,9.28E+02
4.23E+01,9.16E+02
4.23E+01,9.37E+02
4.24E+01,9.26E+02
4.25E+01,9.47E+02
4.32E+01,9.26E+02
4.32E+01,9.37E+02
4.33E+01,9.16E+02
4.35E+01,9.28E+02
4.35E+01,9.16E+02
4.37E+01,9.37E+02
4.37E+01,9.26E+02
4.38E+01,9.47E+02
4.38E+01,9.68E+02
4.38E+01,9.57E+02
4.39E+01,9.78E+02
4.41E+01,9.87E+02
4.41E+01,1.01E+03
4.44E+01,1.02E+03
4.45E+01,1.04E+03
4.45E+01,1.06E+03
4.45E+01,1.05E+03
4.46E+01,1.07E+03
4.46E+01,1.05E+03
4.47E+01,1.04E+03
4.48E+01,1.01E+03
4.49E+01,1.02E+03
4.50E+01,1.01E+03
